id,question,image_full,image_zoom,answer,choices
24,この県はどこ？,24_三重県_full.png,24_三重県_zoom.png,三重県,"島根県,三重県,香川県,高知県"
26,この県はどこ？,26_京都府_full.png,26_京都府_zoom.png,京都府,"大阪府,佐賀県,愛知県,京都府"
41,この県はどこ？,41_佐賀県_full.png,41_佐賀県_zoom.png,佐賀県,"福岡県,島根県,香川県,佐賀県"
28,この県はどこ？,28_兵庫県_full.png,28_兵庫県_zoom.png,兵庫県,"香川県,静岡県,千葉県,兵庫県"
1,この県はどこ？,01_北海道_full.png,01_北海道_zoom.png,北海道,"石川県,北海道,富山県,埼玉県"
12,この県はどこ？,12_千葉県_full.png,12_千葉県_zoom.png,千葉県,"大分県,長野県,千葉県,山形県"
30,この県はどこ？,30_和歌山県_full.png,30_和歌山県_zoom.png,和歌山県,"長崎県,愛媛県,長野県,和歌山県"
11,この県はどこ？,11_埼玉県_full.png,11_埼玉県_zoom.png,埼玉県,"埼玉県,香川県,奈良県,三重県"
44,この県はどこ？,44_大分県_full.png,44_大分県_zoom.png,大分県,"熊本県,群馬県,富山県,大分県"
27,この県はどこ？,27_大阪府_full.png,27_大阪府_zoom.png,大阪府,"鳥取県,大阪府,宮崎県,兵庫県"
29,この県はどこ？,29_奈良県_full.png,29_奈良県_zoom.png,奈良県,"福島県,和歌山県,奈良県,栃木県"
4,この県はどこ？,04_宮城県_full.png,04_宮城県_zoom.png,宮城県,"埼玉県,鳥取県,宮城県,山形県"
45,この県はどこ？,45_宮崎県_full.png,45_宮崎県_zoom.png,宮崎県,"大分県,青森県,和歌山県,宮崎県"
16,この県はどこ？,16_富山県_full.png,16_富山県_zoom.png,富山県,"岩手県,石川県,富山県,奈良県"
35,この県はどこ？,35_山口県_full.png,35_山口県_zoom.png,山口県,"福井県,神奈川県,山口県,熊本県"
6,この県はどこ？,06_山形県_full.png,06_山形県_zoom.png,山形県,"石川県,福岡県,長野県,山形県"
19,この県はどこ？,19_山梨県_full.png,19_山梨県_zoom.png,山梨県,"岡山県,三重県,岐阜県,山梨県"
21,この県はどこ？,21_岐阜県_full.png,21_岐阜県_zoom.png,岐阜県,"千葉県,奈良県,岐阜県,群馬県"
33,この県はどこ？,33_岡山県_full.png,33_岡山県_zoom.png,岡山県,"神奈川県,群馬県,岡山県,石川県"
3,この県はどこ？,03_岩手県_full.png,03_岩手県_zoom.png,岩手県,"岩手県,静岡県,岡山県,宮城県"
32,この県はどこ？,32_島根県_full.png,32_島根県_zoom.png,島根県,"島根県,兵庫県,高知県,三重県"
34,この県はどこ？,34_広島県_full.png,34_広島県_zoom.png,広島県,"富山県,岐阜県,広島県,熊本県"
36,この県はどこ？,36_徳島県_full.png,36_徳島県_zoom.png,徳島県,"徳島県,青森県,鹿児島県,石川県"
38,この県はどこ？,38_愛媛県_full.png,38_愛媛県_zoom.png,愛媛県,"愛媛県,愛知県,大分県,岡山県"
